Dealer_Name,Dealer_Type,Dealer_Address,City,State,Mobile,Email,Domain,Map_Location
"MG Brothers, Kurnool",SALES,"Sy No. 187/1, NH44, Hyderabad Hwy, Peddatekuru Vill, Kallur Mandal,",Kurnool,Andhra Pradesh,9492581344,gmknl@mgbrotherskia.in,https://mg-brothers-kurnool-kia.com,"https://www.google.com/maps/search/15.7216137,78.0006683,MG%20Brothers,%20Kurnool,Peddatekuru%20Vill,%20Kallur%20Mandal,"
"MG Brothers, Kurnool",SERVICE,"Sy No. 187/1, NH44, Hyderabad Hwy, Peddatekuru Vill, Kallur Mandal,",Kurnool,Andhra Pradesh,8500296423,serviceknl@mgbrotherskia.in,https://mg-brothers-kurnool-kia.com,"https://www.google.com/maps/search/15.7216137,78.0006683,MG%20Brothers,%20Kurnool,Peddatekuru%20Vill,%20Kallur%20Mandal,"
"Hoshi Auto, Kakuturu(V)",SALES,"48 A1 Kolkata to Chennai High wayKakuturu(V), Venkatachalam M P S R",Nellore,Andhra Pradesh,8688829729,mgrsalnlr@hoshikia.com,https://hoshi-auto-kakuturu-v-kia.com,"https://www.google.com/maps/search/14.370655,79.932673,Hoshi%20Auto,%20Kakuturu(V),Kakuturu(V),%20Venkatachalam%20M%20P%20S%20R"
"Hoshi Auto, Kakuturu(V)",SERVICE,"48 A1 Kolkata to Chennai High way,Kakuturu(V), Venkatachalam M P S R",Nellore,Andhra Pradesh,8688829738,mgrsernlr@hoshikia.com,https://hoshi-auto-kakuturu-v-kia.com,"https://www.google.com/maps/search/14.370664,79.932913,Hoshi%20Auto,%20Kakuturu(V),Kakuturu(V),%20Venkatachalam%20M%20P%20S%20R"
"Sankar Kia, Ongole",SALES,"45-127-85, NH 16, Throvagunta,Revenue Ward No 45, Ongole,",Ongole,Andhra Pradesh,8886624966,gmsales@sankarraoautomotives.com,,"https://www.google.com/maps/search/15.538083,80.051261,Sankar%20Kia,%20Ongole,Revenue%20Ward%20No%2045,%20Ongole,"
"Sankar Kia, Ongole",SERVICE,"45-127-85, NH 16, Throvagunta,Revenue Ward No 45, Ongole,",Ongole,Andhra Pradesh,8886624950,servicemanager@sankarraoautomotives.com,,"https://www.google.com/maps/search/15.538083,80.051261,Sankar%20Kia,%20Ongole,Revenue%20Ward%20No%2045,%20Ongole,"
"Kantipudi Kia, Lalacheruvu",SALES,"Plot No:4, Block NO:4, Gandhipuram -4, Bhaskar Nagar, Lalacheruvu, Rajahmundry",Rajahmundry,Andhra Pradesh,9015112345,info@kantipudikia.co.in,https://kantipudi-kia-lalacheruvu.com,"https://www.google.com/maps/search/17.024531474427324,81.80148400726034,Kantipudi%20Kia,%20Lalacheruvu,haskar%20Nagar,%20Lalacheruvu,%20Rajahmundry"
Kantipudi Kia,SERVICE,"Near Nannayya University ,NH-5RS No-502/1,",Rajahmundry,Andhra Pradesh,7799977469,bsm@kantipudikia.co.in,https://kantipudi-kia-lalacheruvu.com,"https://www.google.com/maps/search/17.06013892,81.87142508,Kantipudi%20Kia,RS%20No-502/1,"
"Kantipudi Kia, Lalacheruvu",SERVICE,"Dno:85-10-8,Srinagar,Rajahmundry,EGDist,AP,",Rajahmundry,Andhra Pradesh,7799977533,wm@kiakantipudikia.in,https://kantipudi-kia-lalacheruvu.com,"https://www.google.com/maps/search/16.998267,81.801198,Kantipudi%20Kia,%20Lalacheruvu,Rajahmundry,EGDist,AP,"
"Hoshi Auto, Bangalore byepass",SALES,"Hitec Nissan, 714/ 2B, Tukivakam, 200 ftChennai, Bangalore Bypass",Tirupati,Andhra Pradesh,8688829739,mgrsaltpt@hoshikia.com,https://hoshi-auto-bangalore-byepass-kia.com,"https://www.google.com/maps/search/13.6149688,79.4760023,Hoshi%20Auto,%20Bangalore%20byepass,Chennai,%20Bangalore%20Bypass"
"Hoshi Auto, Bangalore byepass",SERVICE,"Hitec Nissan, 714/ 2B, Tukivakam, 200 ftChennai, Bangalore Bypass",Tirupati,Andhra Pradesh,8688829737,Mgrsertpt@hoshikia.com,https://hoshi-auto-bangalore-byepass-kia.com,"https://www.google.com/maps/search/13.6149688,79.4760023,Hoshi%20Auto,%20Bangalore%20byepass,Chennai,%20Bangalore%20Bypass"
"CASA Kia, Nidamanuru, Vijayawada",SALES,"Rs No 10.1/2B,101/2C,101/3B,101/1J,101/1K, 101/1H, Opp Model Dairy, Done Atkur",Vijayawada,Andhra Pradesh,8345959595,salesmanager@casacars.in,,"https://www.google.com/maps/search/16.510361,80.735492,CASA%20Kia,%20Nidamanuru,%20Vijayawada,101/1J,101/1K,%20101/1H,%20Opp%20Model%20Dairy,%20Done%20Atkur"
"Simha Kia, Kunchanapalli",SALES,"1-55/3, Service Road,Opp Iskon Temple, Kolanukonda,",Vijayawada,Andhra Pradesh,8688836566,salesmanager.gnt@simha-kia.in,,"https://www.google.com/maps/search/16.458732,80.607761,Simha%20Kia,%20Kunchanapalli,Opp%20Iskon%20Temple,%20Kolanukonda,"
"Simha Kia, Ramachandra Nagar",SALES,"D. No. 48-10-12A, Opp NTR Health ,University Ramachandra Nagar",Vijayawada,Andhra Pradesh,7331122055,salesmanager.vja@simha-kia.in,https://simha-kia-ramachandra-nagar.com,"https://www.google.com/maps/search/16.51731,80.67337,Simha%20Kia,%20Ramachandra%20Nagar,University%20Ramachandra%20Nagar"
"Simha Kia, Ramachandra Nagar",SERVICE,"D.No. 48-16-30-7-1,Kamineni Nagar MahanadhuRoad",Vijayawada,Andhra Pradesh,8688836556,Servicemanager.vja@simha-kia.in,https://simha-kia-ramachandra-nagar.com,"https://www.google.com/maps/search/16.50806,80.68012,Simha%20Kia,%20Ramachandra%20Nagar,Kamineni%20Nagar%20MahanadhuRoad"
"Lakshmi Kia, Birla junction",SALES,"#38-39-66, Birla JunctionNH5 Road",Vishakhapatnam,Andhra Pradesh,7997815777,agmsales@lakshmikia.com,https://lakshmi-kia-birla-junction.com,"https://www.google.com/maps/search/17.74239,83.25952,Lakshmi%20Kia,%20Birla%20junction,NH5%20Road"
"Lakshmi Kia, Birla junction",SERVICE,"#38-39-66, Birla JunctionNH5 Road, Visakhapatnam-530007",Vishakhapatnam,Andhra Pradesh,8096666489,servicemanager@lakshmikia.com,https://lakshmi-kia-birla-junction.com,"https://www.google.com/maps/search/17.74239,83.25952,Lakshmi%20Kia,%20Birla%20junction,NH5%20Road,%20Visakhapatnam-530007"
"Lakshmi Kia, Madhurawada",SERVICE,"27-12, S No 126/11/3,Mithilapuri Colony Road, Madhurawada,",Vishakhapatnam,Andhra Pradesh,8096666489,gmservice@lakshmikia.com,,"https://www.google.com/maps/search/17.72722222,83.37527778,Lakshmi%20Kia,%20Madhurawada,Mithilapuri%20Colony%20Road,%20Madhurawada,"
"Nigla Kia, Nirjuli",SALES,"Nh-415 LekhiNaharlagun, District - Papumpare",Itanagar,Arunachal Pradesh,6033858060,agm@niglakia.co.in,https://nigla-kia-nirjuli.com,"https://www.google.com/maps/search/27.125011,93.725417,Nigla%20Kia,%20Nirjuli,Naharlagun,%20District%20-%20Papumpare"
"Nigla Kia, Nirjuli",SERVICE,"Nh-415 LekhiNaharlagun, District - Papumpare",Itanagar,Arunachal Pradesh,6033858090,servicemanager@niglakia.co.in,https://nigla-kia-nirjuli.com,"https://www.google.com/maps/search/27.125011,93.725417,Nigla%20Kia,%20Nirjuli,Naharlagun,%20District%20-%20Papumpare"
"Borah Kia, Dibrugarh",SALES,Nh-37Kumarinichiga Tiniali,Dibrugarh,Assam,0373-2370069,borahkiasales@gmail.com,https://borah-kia-dibrugarh.com,"https://www.google.com/maps/search/27.455805,94.883466,Borah%20Kia,%20Dibrugarh,Kumarinichiga%20Tiniali"
"Borah Kia, Dibrugarh",SERVICE,Nh-37Kumarinichiga Tiniali,Dibrugarh,Assam,8876449484,borahkiaservice@gmail.com,https://borah-kia-dibrugarh.com,"https://www.google.com/maps/search/27.455805,94.883466,Borah%20Kia,%20Dibrugarh,Kumarinichiga%20Tiniali"
"Meridian Motors, Nalapara",SALES,"NH 37, Near Akash HyundaiGuwahat",Guwahati,Assam,06292134455,crm.kia.meridian@gmail.com,https://meridian-motors-nalapara-kia.com,"https://www.google.com/maps/search/26.11177,91.76071,Meridian%20Motors,%20Nalapara,Guwahat"
"Divine Kia, Gota Nagar, Guwahati",SALES,"Dag No-2064, Patta No-1211,Gotanagar,Jalukbari,Guwahati Revenue Circle,",Guwahati,Assam,9128000099,sales@divinekia.com,,"https://www.google.com/maps/search/26.1384301,91.6751766,Divine%20Kia,%20Gota%20Nagar,%20Guwahati,Jalukbari,Guwahati%20Revenue%20Circle,"
Meridian Motors CPO,PRE-OWNED CARS,Basistha RoadBeltola Tiniali,Guwahati,Assam,6292134455,cpo@meridiankia.in,https://meridian-motors-nalapara-kia.com,"https://www.google.com/maps/search/26.12582,91.79775,Meridian%20Motors%20CPO,Beltola%20Tiniali"
"Meridian Kia, Gotanagar, Guwahati",SERVICE,"Near Hotel Radisson Blue,Gotanagar, Guwahati, Assam",Guwahati,Assam,6901255135,gmservice@meridiankia.in,,"https://www.google.com/maps/search/26.139758,91.6739584,Meridian%20Kia,%20Gotanagar,%20Guwahati,Gotanagar,%20Guwahati,%20Assam"
"Meridian Motors, Nalapara",SERVICE,"Uday Nagar, Khanapara, Near Health City Hospital,",Guwahati,Assam,6901255133,servicemanager@meridiankia.in,https://meridian-motors-nalapara-kia.com,"https://www.google.com/maps/search/26.116362,91.813982,Meridian%20Motors,%20Nalapara,Near%20Health%20City%20Hospital,"
"Divine Kia, Gota Nagar, Pamohi",SERVICE,"Dag No-658,Patta No-109,Vill-Pamohi, Mouza-Ram Charani, Guwahati,",Guwahati,Assam,7721000099,servicemanager@divinekia.com,,"https://www.google.com/maps/search/26.102992,91.692977,Divine%20Kia,%20Gota%20Nagar,%20Pamohi,Vill-Pamohi,%20Mouza-Ram%20Charani,%20Guwahati,"
"Goyal Kia, Jorhat",SALES,"Bhatemara Gaon, Near Deka Gaon,Dag No. 1199, Patta No. 24,A.T. Road,",Jorhat,Assam,08047092297,sales@goyalkia.com,https://goyal-kia-jorhat.com,"https://www.google.com/maps/search/26.748831,94.174182,Goyal%20Kia,%20Jorhat,Dag%20No.%201199,%20Patta%20No.%2024,A.T.%20Road,"
"Goyal Kia, Jorhat",SERVICE,"Patta No. 776, A.T Road, Hezari Gaon,Dag No. 2041, 2042, Patta No. - 978, Dag No.1717,",Jorhat,Assam,,gmservice@goyalkia.com,https://goyal-kia-jorhat.com,"https://www.google.com/maps/search/26.744483,94.163954,Goyal%20Kia,%20Jorhat,Dag%20No.%202041,%202042,%20Patta%20No.%20-%20978,%20Dag%20No.1717,"
"Meridian Motors, AT Road",SALES,"Patta No. 68, Daag No.302,Mouza Kachamary, Khutikatia",Nagaon,Assam,6901273610,gm.nagaon.tezpur@meridiankia.in,https://meridian-motors-at-road-kia.com,"https://www.google.com/maps/search/26.348000,92.683800,Meridian%20Motors,%20AT%20Road,Mouza%20Kachamary,%20Khutikatia"
"Meridian Motors, AT Road",SERVICE,"Dag No.298 & 297, Patta No.126 & 325Khutikatia, Mouza Kachamary",Nagaon,Assam,7099050397,service.nagaon@meridiankia.in,https://meridian-motors-at-road-kia.com,"https://www.google.com/maps/search/26.348000,92.683800,Meridian%20Motors,%20AT%20Road,Khutikatia,%20Mouza%20Kachamary"
"INFINITY KIA, Sonai Road",SALES,"Sonai Road, Near Truck Drivers AssociatiPatta No.19 & 45, Dag No.140 & 142, Silchar,",Silchar,Assam,7948220643,sales@infinitykia.com,https://infinity-kia-sonai-road.com,"https://www.google.com/maps/search/24.795900,92.805800,INFINITY%20KIA,%20Sonai%20Road,Patta%20No.19%20&%2045,%20Dag%20No.140%20&%20142,%20Silchar,"
"INFINITY KIA, Sonai Road",SERVICE,"Sonai Road, Near Truck Drivers AssociatiPatta No.19 & 45, Dag No.140 & 142, Silchar,",Silchar,Assam,9435071239,kia.silchar@gmail.com,https://infinity-kia-sonai-road.com,"https://www.google.com/maps/search/24.795961,92.805768,INFINITY%20KIA,%20Sonai%20Road,Patta%20No.19%20&%2045,%20Dag%20No.140%20&%20142,%20Silchar,"
"Meridian Motors, Tezpur",SALES,"Dag No.1076,Patta No.531, Nikamul,Tezpur,",Tezpur,Assam,6901273610,gm.nagaon.tezpur@meridiankia.in,https://meridian-motors-tezpur-kia.com,"https://www.google.com/maps/search/26.652778,92.791778,Meridian%20Motors,%20Tezpur,Patta%20No.531,%20Nikamul,Tezpur,"
"Meridian Motors, Tezpur",SERVICE,"Dag No.1076,Patta No.531, Nikamul,Tezpur,",Tezpur,Assam,9707394080,service.nagaon@meridiankia.in,https://meridian-motors-tezpur-kia.com,"https://www.google.com/maps/search/26.652778,92.791778,Meridian%20Motors,%20Tezpur,Patta%20No.531,%20Nikamul,Tezpur,"
"Borah Kia, Tinsukia",SALES,"Opp Laipuli Garrison, NH37, Tinsukia",Tinsukia,Assam,7002212044,,https://borah-kia-tinsukia.com,"https://www.google.com/maps/search/27.478229,95.297995,Borah%20Kia,%20Tinsukia,%20NH37,%20Tinsukia"
"Borah Kia, Tinsukia",SERVICE,"Opp Laipuli Garrison, NH37, Tinsukia",Tinsukia,Assam,7002212044,,https://borah-kia-tinsukia.com,"https://www.google.com/maps/search/27.478229,95.297995,Borah%20Kia,%20Tinsukia,%20NH37,%20Tinsukia"
"Goberdhan Kia, Darbhanga",SALES,"Dilli More, Bus Stand,Basudeopur, NH-57, Darbhanga,",Darbhanga,Bihar,9297932601,kiadarbhanga@gmail.com,,"https://www.google.com/maps/search/26.187471,85.897851,Goberdhan%20Kia,%20Darbhanga,Basudeopur,%20NH-57,%20Darbhanga,"
"Raj KIA, Gaya",SALES,"PLOT NO.-1233, NH-83,BODH-GAYA ROAD, NEAR TEKUNA FARM",Gaya,Bihar,9031057100,smsales@rajkia.com,,"https://www.google.com/maps/search/24.731657,84.967408,Raj%20KIA,%20Gaya,BODH-GAYA%20ROAD,%20NEAR%20TEKUNA%20FARM"
"Raj KIA, Gaya",SERVICE,"PLOT NO.-1233, NH-83,BODH-GAYA ROAD, NEAR TEKUNA FARM",Gaya,Bihar,9031057101,smservice@rajkia.com,,"https://www.google.com/maps/search/24.73175000,84.96788889,Raj%20KIA,%20Gaya,BODH-GAYA%20ROAD,%20NEAR%20TEKUNA%20FARM"
"Goberdhan Kia, Dariyapur Kafen",SALES,"Kafen, NH-77Patna Road",Muzaffarpur,Bihar,040-48215127,kiamuzaffarpur@gmail.com,https://goberdhan-kia-dariyapur-kafen.com,"https://www.google.com/maps/search/26.058204,85.364636,Goberdhan%20Kia,%20Dariyapur%20Kafen,Patna%20Road"
"Goberdhan Kia, Dariyapur Kafen",SERVICE,"Kafen, NH-77Patna Road",Muzaffarpur,Bihar,9297932626,Servicemanager@goberdhankia.com,https://goberdhan-kia-dariyapur-kafen.com,"https://www.google.com/maps/search/26.058204,85.364636,Goberdhan%20Kia,%20Dariyapur%20Kafen,Patna%20Road"
"Amar Jyoti Kia, Saguna More",SALES,"Saguna Khagaul Road, Mustafapur,Near Kiran Dental, Danapur,",Patna,Bihar,9606970220,saguna@amarjyotikia.com,,"https://www.google.com/maps/search/25.5957793,85.0430126,Amar%20Jyoti%20Kia,%20Saguna%20More,Near%20Kiran%20Dental,%20Danapur,"
"Amar Jyoti, Exhibition Road",SALES,Pandey PlazaExhibition Road,Patna,Bihar,8102922001,care@amarjyotikia.com,https://amar-jyoti-exhibition-road-kia.com,"https://www.google.com/maps/search/25.61162,85.14363,Amar%20Jyoti,%20Exhibition%20Road,Exhibition%20Road"
"Prema Kia, Anishabad",SALES,"Jay Prakash Nagar,NH 30, Bypass Road, Overbridge,",Patna,Bihar,08069453870,crmsales@premakia.in,https://prema-kia-anishabad.com,"https://www.google.com/maps/search/25.584821425266462,85.12373940863122,Prema%20Kia,%20Anishabad,NH%2030,%20Bypass%20Road,%20Overbridge,"
Amar Jyoti CPO,PRE-OWNED CARS,"Dhanki MoreAdjacent Apollo Burn Hospital,",Patna,Bihar,08069451800,cpo@amarjyotikia.com,https://amar-jyoti-exhibition-road-kia.com,"https://www.google.com/maps/search/25.599767,85.191346,Amar%20Jyoti%20CPO,Adjacent%20Apollo%20Burn%20Hospital,"
"Amar Jyoti, Exhibition Road",SERVICE,"Pandey Motors CampusBhoothnath Road, Kankarbagh",Patna,Bihar,7903173010,service@amarjyotikia.com,https://amar-jyoti-exhibition-road-kia.com,"https://www.google.com/maps/search/25.59693,85.17453,Amar%20Jyoti,%20Exhibition%20Road,Bhoothnath%20Road,%20Kankarbagh"
"Amar Jyoti,Kurji",SERVICE,"Kurji More, KurjiKia Service",Patna,Bihar,,service@amarjyotikia.com,https://amar-jyoti-exhibition-road-kia.com,"https://www.google.com/maps/search/25.639782,85.110737,Amar%20Jyoti,Kurji,Kia%20Service"
"Prema Kia, Anishabad",SERVICE,"Near NH- 30behind Yati Yamaha, BC Colony,",Patna,Bihar,08046805870,crmservice@premakia.in,https://prema-kia-anishabad.com,"https://www.google.com/maps/search/25.583417585179273,85.12232081708771,Prema%20Kia,%20Anishabad,behind%20Yati%20Yamaha,%20BC%20Colony,"
"Kosi Kia,Purnia",SALES,NH 31Barsoni,Purnia,Bihar,7283000470,sales@kosikia.com,https://kosi-kiapurnia.com,"https://www.google.com/maps/search/25.798753769927536,87.5704845573463%20,Kosi%20Kia,Purnia,Barsoni"
"Kosi Kia,Purnia",SERVICE,"NH 31 Bypass RoadBelori, Madhavpara",Purnia,Bihar,,service@kosikia.com,https://kosi-kiapurnia.com,"https://www.google.com/maps/search/25.76430489334257,87.49540723923847,Kosi%20Kia,Purnia,Belori,%20Madhavpara"
"Joshi Kia, Industrial area, Phase 1",SALES,"Plot No. 16,Industrial Area, Phase 1",Chandigarh,Chandigarh,7087000111,gaurav.misra@joshikia.in,https://joshi-kia-industrial-area-phase-1.com,"https://www.google.com/maps/search/30.712707,76.806428,Joshi%20Kia,%20Industrial%20area,%20Phase%201,Industrial%20Area,%20Phase%201"
"Joshi Kia CPO, GT Road",PRE-OWNED CARS,"Plot No. 167Near Elante Mall, Industrial Area",Chandigarh,Chandigarh,7087000111,gaurav.misra@joshikia.in,https://joshi-kia-industrial-area-phase-1.com,"https://www.google.com/maps/search/30.70737%20,76.80076,Joshi%20Kia%20CPO,%20GT%20Road,Near%20Elante%20Mall,%20Industrial%20Area"
"Joshi Kia, Industrial area, Phase 1",SERVICE,"Plot No. 182/1,Industrial Area, Phase 1",Chandigarh,Chandigarh,9875923025,gmaftersales@joshikia.in,https://joshi-kia-industrial-area-phase-1.com,"https://www.google.com/maps/search/30.703070,76.799065,Joshi%20Kia,%20Industrial%20area,%20Phase%201,Industrial%20Area,%20Phase%201"
"Joshi Kia, Industrial area, Phase 1-2S",SERVICE,"Plot No. 33, Industrial Area, Phase 1",Chandigarh,Chandigarh,0172-5305366,joshikiachandigarh@gmail.com,https://joshi-kia-industrial-area-phase-1.com,"https://www.google.com/maps/search/30.711601,76.806541,Joshi%20Kia,%20Industrial%20area,%20Phase%201-2S,Industrial%20Area,%20Phase%201"
"Maosaji Kia, Parsada",SALES,"Near Transport Nagar GateRaipur Road,",Bilaspur,Chhattisgarh,8815103912,sales@maosajikia.com,https://maosaji-kia-parsada.com,"https://www.google.com/maps/search/22.043594,82.118354,Maosaji%20Kia,%20Parsada,Raipur%20Road,"
"Maosaji Kia, Parsada",SERVICE,"Near Transport Nagar GateRaipur Road,",Bilaspur,Chhattisgarh,8815103920,sales@maosajikia.com,https://maosaji-kia-parsada.com,"https://www.google.com/maps/search/22.043594,82.118354,Maosaji%20Kia,%20Parsada,Raipur%20Road,"
"Krishna Kia, Main Road Korba",SALES,Plot No. 487/32Main Road,Korba,Chhattisgarh,8871327554,Enquiry@krishnakia.com,https://krishna-kia-main-road-korba.com,"https://www.google.com/maps/search/22.34215483,82.70124352,Krishna%20Kia,%20Main%20Road%20Korba,Main%20Road"
"Krishna Kia, Main Road Korba",SERVICE,"Plot No. 732/19, 20,Champa - Janjagir Road,",Korba,Chhattisgarh,,Service.korba@krishnakia.com,https://krishna-kia-main-road-korba.com,"https://www.google.com/maps/search/22.3621698,82.69585433,Krishna%20Kia,%20Main%20Road%20Korba,Champa%20-%20Janjagir%20Road,"
"Maosaji Kia, Raigarh",SALES,"Bhagwanpur, Jindal Road,61/28, Ward No. 45,",RAIGARH,Chhattisgarh,9343604983,salesraigarh@maosajikia.com,https://maosaji-kia-raigarh.com,"https://www.google.com/maps/search/21.894291,83.394272,Maosaji%20Kia,%20Raigarh,61/28,%20Ward%20No.%2045,"
"Intara Kia,Labhandi, Raipur",SALES,"Plot Not. 385/3, Great Eastern Road,Near Courtyard Marriot Hotel, Raipur,",Raipur,Chhattisgarh,7880006086,sales@intarakia.com,,"https://www.google.com/maps/search/81.7008752,21.2381052,Intara%20Kia,Labhandi,%20Raipur,Near%20Courtyard%20Marriot%20Hotel,%20Raipur,"
"Sairam Wheels, Tatibandh",SALES,"Khasra No. 168/2GE Road, NH-6",Raipur,Chhattisgarh,7714356400,ccmsales@sairamkiamotors.in,https://sairam-wheels-tatibandh-kia.com,"https://www.google.com/maps/search/21.25579318,81.55484955,Sairam%20Wheels,%20Tatibandh,GE%20Road,%20NH-6"
"Sairam Kia CPO, NH 6",PRE-OWNED CARS,"Khasara No. 338/126,Veer Sawarkar Nagar, Tatibandh",Raipur,Chhattisgarh,9826628539,cpo.sairamkia@gmail.com,https://sairam-wheels-tatibandh-kia.com,"https://www.google.com/maps/search/21.258078,81.56464,Sairam%20Kia%20CPO,%20NH%206,Veer%20Sawarkar%20Nagar,%20Tatibandh"
"Sairam Wheels, Tatibandh",SERVICE,"Khasra No. 168/2GE Road, NH-6",Raipur,Chhattisgarh,7247004002,gmservice@sairamkiamotors.in,https://sairam-wheels-tatibandh-kia.com,"https://www.google.com/maps/search/21.25579318,81.55484955,Sairam%20Wheels,%20Tatibandh,GE%20Road,%20NH-6"
"Sairam Kia, Ring Road",SERVICE,"Khasra no 336/2 & Khasra 333, Ring Road No. 1, opposite to Dmart, Bhatagaon,",Raipur,Chhattisgarh,9329931727,gmservice@sairamkiamotors.in,https://sairam-wheels-tatibandh-kia.com,"https://www.google.com/maps/search/21.234565,81.591392,Sairam%20Kia,%20Ring%20Road,Ring%20Road%20No.%201,%20opposite%20to%20Dmart,%20Bhatagaon,"
"Allied Kia, Connaught Place",SALES,"Connaught PlaceNo.5 Scindia House,",Delhi,Delhi,8047363017,gmsalescp@allied-kia.in,https://allied-kia-connaught-place.com,"https://www.google.com/maps/search/28.62959,77.21989,Allied%20Kia,%20Connaught%20Place,No.5%20Scindia%20House,"
"Automotive Kia, Dwarka",SALES,"Plot No -26,Service Center Sector - 20,",Delhi,Delhi,7780755133,digitalsales.kiadelhi@automotiveml.com,,"https://www.google.com/maps/search/28.567876,77.0632203,Automotive%20Kia,%20Dwarka,Service%20Center%20Sector%20-%2020,"
"Frontier Kia, Safdarjung",SALES,"A2/8, Safdarjung EnclaveNew Delhi 110029",Delhi,Delhi,9873943152,saleshead.sd@frontierkia.in,https://frontier-kia-safdarjung.com,"https://www.google.com/maps/search/28.567428,77.189665,Frontier%20Kia,%20Safdarjung,New%20Delhi%20110029"
"Ritu Kia, Mayapuri",SALES,"D-13, RING ROAD,Rajouri Garden, New Delhi,",Delhi,Delhi,7419798999,gmsalesdelhi@ritukia.in,,"https://www.google.com/maps/search/28.641321,77.129225,Ritu%20Kia,%20Mayapuri,Rajouri%20Garden,%20New%20Delhi,"
"JAYANTI KIA, LAJPAT NAGAR",SALES,"B-33, LAJPAT NAGAR 2, NEW DELHINEW DELHI",Delhi,Delhi,7290070428,saleshead.lpn@jayantikia.in,https://jayanti-kia-lajpat-nagar.com,"https://www.google.com/maps/search/28.34261,77.14178,JAYANTI%20KIA,%20LAJPAT%20NAGAR,NEW%20DELHI"
